disposition,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_insol,pl_eqt,st_teff,st_rad,st_mass,st_met,st_logg
CANDIDATE,4.1687922,,16.1,,,,6005.0,1.14,,,
CANDIDATE,21.17051,,81.0,,,,,2.536,,,
CANDIDATE,5.319375537,,19.66846395,,1968.9003,1698.93,6350.0,2.36934,,,3.78918
CANDIDATE,5.319075,,20.0,,,,,2.28,,,
CANDIDATE,6.6223,,,,,,5000.0,5.54598,,,
CANDIDATE,0.5217136,,452.0,,,,,11.27,,,
CANDIDATE,11.97495,,256.0,,,,5200.0,3.4,,,3.32
CANDIDATE,11.975818,,8.43,,,,3320.0,0.28,,,
CANDIDATE,5.9895,,2.04,,,,,1.03,,,
CANDIDATE,28.707623,,21.2,,,,5838.0,1.03,,,
CANDIDATE,15.465691,,4.13,,,,4989.0,0.76,,,
CANDIDATE,15.4715,,9.2,,,,5791.0,1.89,,,4.005
CANDIDATE,15.466674,,16.12109089,,,,5807.0,1.231429,,0.45,4.25
CANDIDATE,1.4556637,,,,,,6520.0,1.84406,1.341,,4.03395
CANDIDATE,1.45556515,,71.0,,,,,2.043,,,
CANDIDATE,3.3262396,,1.16,,,,3404.0,0.33,,,
CANDIDATE,3.32592848,,,,,,4017.0,60.6949,,,
CANDIDATE,3.3255,,1080.0,,,,,85.0,,,
CANDIDATE,13.1426,,200.0,,,,,13.9,,,
CANDIDATE,4.4743465,,3.06,,,,5248.0,0.81,,,
CANDIDATE,4.474513,,8.16881084,,,,6081.0,2.221057,,0.46,3.88
CANDIDATE,4.47471,,22.0,,,,,2.486,,,
CANDIDATE,2.1989041,,46.6,,,,4938.0,0.75,,,
CANDIDATE,4.1657292,,1.86,,,,3442.0,0.36,,,
CANDIDATE,0.2358684,,6.1,,,,,1.792,,,
CANDIDATE,12.99109,,43.0,,,,,4.5,,,
CANDIDATE,1.7359447,,1.89,,,,5354.0,0.84,,,
CANDIDATE,1.8389349,,0.837,,,,3930.0,0.58,,,
CANDIDATE,1.83916,,0.62,,,,,0.48,,,
CANDIDATE,2.032664,,1.92,,,,,0.535,,,
CANDIDATE,6.11706,,1.76,,,,,0.535,,,
CANDIDATE,1.85872487,,,,,,6015.0,2.01889,1.11,,3.87316
CANDIDATE,1.8590179,,30.5,,,,6244.0,1.33,,,
CANDIDATE,1.859017,,64.0,,,,6842.0,2.03,,,4.01
CANDIDATE,540.0,,5.7,,,,5200.0,0.94,,,
CANDIDATE,,,12.81,,,,,1.947,,,
CANDIDATE,0.8411257,,0.884,,,,4289.0,0.66,,,
CANDIDATE,0.17566,,3.11,,,,6620.0,1.15,,0.09,4.19
CANDIDATE,29.33873041,,,,,,3171.0,0.528528,0.525532,,4.71253
CANDIDATE,1.68027,,2.9,,,,,1.275,,,
CANDIDATE,2.54427583,,,,,,8188.0,3.23826,2.003,,3.71913
CANDIDATE,0.7099504,,80.0,,,,,2.065,,,
CANDIDATE,3.400858,,14.1,,,,,0.983,,,
CANDIDATE,3.4007758,,5.57,,,,5520.0,0.89,,,
CANDIDATE,,,7.51,,,,,1.249,,,
CANDIDATE,,,,,,,3095.0,,,,
CANDIDATE,28.46762,,37.0,,,,,1.97,,,
CANDIDATE,28.465633,,18.4,,,,5700.0,0.96,,,
CANDIDATE,83830.0,,12.0,,,,4000.0,0.74,,,
CANDIDATE,8.79689,,4.85,,,,,2.047,,,
CANDIDATE,1.153886,,99.0,,,,6841.0,1.8,,,4.09
CANDIDATE,1.6398934,,33.0,,,,5175.0,0.79,,,
CANDIDATE,23.210585,,5.7,,,,5244.0,0.81,,,
CANDIDATE,23.21037,,15.3,,,,,1.207,,,
CANDIDATE,1.330023,,44.0,,,,,2.4,,,
CANDIDATE,50.73641,,10.31,,,,,1.349,,,
CANDIDATE,46.1373,,2.6,,,,,0.723,,,
CANDIDATE,1.957,,,,,,3913.0,45.3731,,,
CANDIDATE,22.6398,,1.27,,,,,0.862,,,
CANDIDATE,24.193613,,30.7,,,,5457.0,0.87,,,
CANDIDATE,2.784496,,2.09,,,,,0.256,,,
CANDIDATE,0.64292573,,,,,,2914.0,0.362033,0.348098,,4.86227
CANDIDATE,10.2236,,132.0,,,,6960.0,2.04,,,4.05
CANDIDATE,2.7518,,0.669,,,,,0.647,,,
CANDIDATE,,,133.0,,,,,8.12,,,
CANDIDATE,23.277669,,32.8,,,,4379.0,0.68,,,
CANDIDATE,24.6842,,2.49,,,,,1.17,,,
CANDIDATE,2.2,,8.4,,,,4800.0,0.87,,,
CANDIDATE,2.64594828,,,,,,6634.0,1.98054,1.39,,3.98751
CANDIDATE,2.6454165,,9.47,,,,5179.0,0.79,,,
