disposition,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_insol,pl_eqt,st_teff,st_rad,st_mass,st_met,st_logg
CANDIDATE,6.788,,,,,,5841.15,1.09551,,0.198,
CANDIDATE,6.789076,,1.60793495,,,,5758.0,0.978493,,0.11,4.46
CANDIDATE,6.788344,,1.6,,,,,1.11,,,
CANDIDATE,6.78882,,2.8,,,,,1.76,,,
CANDIDATE,18.517319,,1.86157195,,,,5758.0,0.978493,,0.11,4.46
CANDIDATE,18.516,,,,,,5841.15,1.09551,,0.198,
CANDIDATE,18.5159,,3.3,,,,,1.76,,,
CANDIDATE,2.268,,,,,,5789.0,2.15197,1.04,,3.78943
CANDIDATE,2.2688499,,,,,,5789.0,2.15197,1.04,,3.78943
CANDIDATE,7.264,,,,,,,,,,
CANDIDATE,3.4914,,1.18,,,,,0.572,,,
CANDIDATE,7.685505,,2.084,,,,5176.0,0.703,0.695,-0.594,4.587
CONFIRMED,13.603,,,,,,4581.0,0.669035,0.724,,4.64691
CONFIRMED,13.603,0.098,2.586,,,536.0,4684.0,0.673,0.69,-0.137,4.622
CONFIRMED,13.60697954,,,,,,4581.0,0.669035,0.724,,4.64691
CONFIRMED,65.55,0.28,2.69,,,316.0,4684.0,0.673,0.69,-0.137,4.622
CANDIDATE,14.78545,,2.62,,,,,0.623,,,
CANDIDATE,34.383193,,2.856,,,,5666.0,0.972,0.765,-0.137,4.343
CANDIDATE,19.984217,,2.846,,,,6823.0,1.753,1.62,-0.224,4.004
CANDIDATE,1.018,,,,,,5022.0,0.805916,0.83,,4.54457
CANDIDATE,1.017968,,36.1,,,,,0.75,,,
CANDIDATE,1.017977,,18.1,,,,,0.638,,,
CANDIDATE,8.491003,,2.228,,,,5432.0,0.841,0.836,-0.13,4.51
CANDIDATE,8.953,,,,,,4966.0,0.864025,0.819,,4.4783
CANDIDATE,8.95366,,3.32,,,,,0.841,,,
CANDIDATE,37.361973,,2.74426869,,,,5675.0,1.116937,,0.03,4.25
CANDIDATE,24.748442,,16.683,,,,5803.0,0.637,0.633,-0.235,4.637
CANDIDATE,3.216,,,,,,3954.0,0.622576,0.60613,,4.63225
CANDIDATE,29.978884,,15.3,,,,,0.94,,,
CANDIDATE,6.725,,,,,,4891.0,0.80913,0.8,,4.52512
CANDIDATE,6.72511,,4.37,,,,,0.787,,,
CANDIDATE,12.24568,,2.047,,,,5329.0,0.796,0.871,-0.011,4.573
CANDIDATE,13.8883,,1.46,,,,,0.592,,,
CANDIDATE,26.939433,,2.869,,,,5716.0,1.02,0.776,-0.217,4.312
CANDIDATE,27.7985,,2.47,,,,,1.484,,,
CANDIDATE,20.641492,,49.5,,,,,1.05,,,
CANDIDATE,12.634794,,47.553,,,,4999.0,10.265,0.805,-1.432,2.32
CANDIDATE,7.535783,,3.131,,,,3990.0,0.659,14.336,-0.089,4.718
CANDIDATE,6.116238,,4.886,,,,6283.0,1.544,1.235,-0.268,4.154
CANDIDATE,9.668373,,2.628,,,,5368.0,0.817,0.826,-0.206,4.527
CANDIDATE,0.546127,,11.3,,,,,1.447,,,
CANDIDATE,2.49686,,90.0,,,,,11.0,,,
CANDIDATE,5.84643,,10.4,,,,,0.698,,,
CANDIDATE,9.76897,,,,,,5388.0,1.2,,,
CANDIDATE,9.770186,,3.19260619,,,,5631.0,0.994327,,-0.15,4.29
CANDIDATE,9.7706,,3.8,,,,,1.195,,,
CANDIDATE,9.769155,,3.3,,,,,1.1,,,
CANDIDATE,0.515513,,3.4,,,,,0.75,,,
CANDIDATE,6.7826,,1.88,,,,,0.705,,,
CANDIDATE,3.12951,,18.6,,,,,1.99,,,
CANDIDATE,13.61358,,3.39689521,,,,4863.0,0.780921,,0.27,4.38
CANDIDATE,13.61242,,3.03,,,,,0.793,,,
CANDIDATE,12.364531,,36.3,,,,,0.76,,,
CANDIDATE,6.79867,,4.4,,,,,1.601,,,
CANDIDATE,1.489154,,1.9,,,,,2.4,,,
CANDIDATE,1.489184,,1.0,,,,,0.87,,,
CANDIDATE,14.1297,,1.4,,,,,0.69,,,
CANDIDATE,4.63789,,2.04,,,,,1.021,,,
CANDIDATE,4.637911,,1.87105305,,,,5608.0,0.985113,,0.37,4.46
CANDIDATE,5.059033,,1.03801946,,,,4455.0,0.623766,,-0.28,4.68
CANDIDATE,5.059,,1.12,,,,4310.0,0.67224,0.67,,4.60909
CANDIDATE,1.876899,,13.2,,,,,0.774,,,
CANDIDATE,10.99044,,1.16,,,,3584.0,0.500884,0.498929,,4.73663
CANDIDATE,21.568409,,20.5,,,,,1.21,,,
CANDIDATE,1.236438,,50.0,,,,,3.2,,,
CANDIDATE,7.269622,,32.9,,,,,0.73,,,
CANDIDATE,7.269213,,163.0,,,,,6.93,,,
CANDIDATE,7.457597,,8.7,,,,,1.037,,,
CANDIDATE,43.1029,,12.2,,,,,1.923,,,
CANDIDATE,0.2633809,,370.0,,,,,37.7,,,
CANDIDATE,15.20726,,26.2,,,,,1.59,,,
CANDIDATE,15.207101,,12.7,,,,,0.84,,,
CANDIDATE,0.738067,,260.0,,,,,25.0,,,
CANDIDATE,4.135707,,1.59980974,,,,4972.0,0.76364,,0.02,4.52
CANDIDATE,4.13556,,1.44,,,,,0.761,,,
CANDIDATE,6.63107,,1.52,,,,,0.761,,,
CANDIDATE,6.631247,,1.35955936,,,,4972.0,0.76364,,0.02,4.52
CANDIDATE,1.726115,,5.6,,,,,0.839,,,
CANDIDATE,1.2539936,,31.7,,,,,0.948,,,
CANDIDATE,0.9085915,,23.1,,,,,0.95,,,
CANDIDATE,6.421719,,15.3,,,,,1.1,,,
CANDIDATE,2.74324,,28.0,,,,,4.88,,,
CANDIDATE,0.533393,,19.5,,,,,14.8,,,
CANDIDATE,23.510811,,18.4,,,,,0.97,,,
CANDIDATE,21.521554,,2.40003126,,,,5694.0,1.160188,,0.0,4.22
CANDIDATE,5.33988,,1.27,,,,,0.611,,,
CANDIDATE,6.689131,,29.9,,,,,1.011,,,
CANDIDATE,,,13.66,,,,,0.738,,,
CANDIDATE,3.6322288,,32.2,,,,,2.67,,,
CANDIDATE,10.14588,,19.43,,,,,1.198,,,
CANDIDATE,11.12366,,1.8,,,,,0.8327,,,
CANDIDATE,11.123654,,1.71707978,,,,5310.0,0.820733,,0.01,4.63
CANDIDATE,,,57.0,,,,,1.532,,,
CANDIDATE,1.15144,,,,,,5809.0,1.91,,,
CANDIDATE,1.151471,,12.4,,,,,1.64,,,
CANDIDATE,14.94889,,21.9,,,,,1.69,,,
CANDIDATE,14.948966,,36.94985751,,,,6391.0,1.524443,,0.45,4.18
CANDIDATE,3.0203,,5.6,,,,,1.265,,,
CANDIDATE,13.12227,,2.02,,,,,1.004,,,
CANDIDATE,13.125244,,1.67711859,,,,5742.0,0.976723,,0.19,4.5
CANDIDATE,19.68075,,2.55,,,,,1.079,,,
CANDIDATE,19.679411,,2.31529508,,,,5679.0,1.002168,,0.35,4.49
CANDIDATE,3.38492,,1.48,,,,,0.528,,,
CANDIDATE,3.90518,,16.3,,,,,1.282,,,
CANDIDATE,28.077484,,67.3,,,,,1.54,,,
CANDIDATE,11.86386,,2.21,,,,,0.848,,,
CANDIDATE,8.6929,,1.81,,,,,1.079,,,
CANDIDATE,9.761854,,3.4422482,,,,5529.0,1.770928,,-0.22,3.91
CANDIDATE,32.3204,,3.3,,,,,0.245,,,
CANDIDATE,2.786008,,1.9,,,,,0.42,,,
CANDIDATE,2.78592,,14.87,,,,3528.0,0.470811,0.46848,,4.76307
CANDIDATE,8.60133,,5.31,,,,,1.016,,,
CANDIDATE,29.8411,,5.23,,,,,1.016,,,
CANDIDATE,16.692356,,17.0,,,,,0.9,,,
CANDIDATE,4.833191,,25.31,,,,,1.8456,,,
CANDIDATE,1.3194719,,14.3,,,,,1.31,,,
CANDIDATE,1.319474,,16.6,,,,,1.54,,,
CANDIDATE,21.587326,,1.78061635,,,,6244.0,1.466377,,-0.06,4.11
CANDIDATE,3.04108,,11.9,,,,,1.91,,,
CANDIDATE,3.041617,,8.9894717,,,,5250.0,0.873673,,0.07,4.31
CANDIDATE,0.4951253,,28.8,,,,,1.87,,,
CANDIDATE,1.589843,,49.0,,,,,3.93,,,
CANDIDATE,8.421659,,3.45758743,,,,5779.0,1.229497,,-0.29,4.13
CANDIDATE,8.42177,,3.13,,,,,1.0511,,,
CANDIDATE,9.811589,,4.253,,,,5953.0,1.882,1.506,-0.162,4.066
CANDIDATE,11.587502,,21.9,,,,,1.0,,,
CANDIDATE,1.549318,,42.6,,,,,1.67,,,
CANDIDATE,5.049068,,2.594,,,,6262.0,1.476,1.198,-0.184,4.178
CANDIDATE,5.0521,0.0529,2.1388,,1073.998,,6262.0,1.476,1.198,-0.184,4.178
CANDIDATE,1.9363475,,46.0,,,,,1.687,,,
CANDIDATE,1.157563,,12.3,,,,,1.46,,,
CANDIDATE,2.17469,,1.8,,,,,1.083,,,
CANDIDATE,1.658223,,0.867,,,,,0.917,,,
CANDIDATE,0.56007,,1.67,,,,,0.441,,,
CANDIDATE,4.88451,,16.1,,,,,0.73,,,
CANDIDATE,4.35967,,2.31,,,,,0.559,,,
CANDIDATE,1.81053,,1.024,,,,,0.543,,,
CANDIDATE,20.94388,,170.0,,,,,12.43,,,
CANDIDATE,20.943909,,591.1,,,,,11.57,,,
CANDIDATE,0.944284,,1.48,,,,,0.684,,,
CANDIDATE,5.292605,,9.9778729,,,,5689.0,0.969695,,0.16,4.43
CANDIDATE,5.292627,,10.98,,,,,1.058,,,
CANDIDATE,5.29266,,9.6,,,,,1.0,,,
CANDIDATE,0.515013,,26.1,,,,,1.3,,,
CANDIDATE,0.5150196,,36.2,,,,,1.23,,,
CANDIDATE,26.4837,,1.98,,,,,1.378,,,
CANDIDATE,2.08807,,12.4,,,,,4.44,,,
CANDIDATE,34.3797,,118.0,,,,,4.0,,,
CANDIDATE,15.6594,,37.0,,,,,4.0,,,
CANDIDATE,1.4095126,,70.0,,,,,1.82,,,
CANDIDATE,3.22513,,2.33,,,,,0.437,,,
CANDIDATE,4.9234,,1.18,,,,,0.776,,,
CANDIDATE,8.03216,,2.42,,,,,1.85,,,
CANDIDATE,17.093319,,17.7,,,,,0.426,,,
CANDIDATE,17.093491,,32.5,,,,,0.66,,,
CANDIDATE,50.693644,,8.68300668,,,,5220.0,0.792931,,-0.1,4.54
CANDIDATE,50.69369,,8.85,,,,,0.781,,,
CANDIDATE,50.6939885,,8.48837,,2.9319,364.0,5216.0,0.78,,,4.6039
CANDIDATE,0.7988453,,6.2,,,,,0.728,,,
CANDIDATE,0.7988525,,4.00703,,512.916,1325.0,4785.0,0.86,,,4.45252
CANDIDATE,0.4378443,,41.0,,,,,1.3,,,
CANDIDATE,13.26931,,23.8,,,,,1.127,,,
CANDIDATE,7.119856,,1.8797781,,,,5318.0,0.852371,,0.26,4.68
CANDIDATE,7.12113,,1.99,,,,,0.853,,,
CANDIDATE,8.904672,,26.1,,,,,1.014,,,
CANDIDATE,8.90003342,,15.12617706,,144.377,884.09,5854.0,1.0044,,,4.45956
CANDIDATE,8.904519,,36.9,,,,,0.89,,,
CANDIDATE,2.504853,,3.95,,,,,0.905,,,
CANDIDATE,2.5048178,,3.9467,,448.655,1282.0,5328.0,0.92,,,4.47
CANDIDATE,3.68034,,1.06218625,,,,5121.0,0.774992,,-0.03,4.69
CANDIDATE,3.68047,,1.11,,,,,0.777,,,
CANDIDATE,2.6017,,1.47,,,,,0.839,,,
CANDIDATE,15.960128,,19.5,,,,,0.87,,,
CANDIDATE,16.9616,,2.7,,,,,1.277,,,
CANDIDATE,0.7175747,,28.1,,,,,0.818,,,
CANDIDATE,5.1645,,0.784,,,,,0.255,,,
CANDIDATE,3.44795,,0.97,,,,,0.332,,,
CANDIDATE,,,36.0,,,,,1.208,,,
CANDIDATE,0.5551606,,11.4,,,,,1.657,,,
CANDIDATE,6.26242,,2.03,,,,,0.762,,,
CANDIDATE,24.4131,,15.3,,,,,0.64,,,
CANDIDATE,4.02748,,1.24,,,,,0.5901,,,
CANDIDATE,10.55369,,2.72,,,,,0.88,,,
CANDIDATE,41.55209,,4.3,,,,,0.73,,,
CANDIDATE,41.552934,,4.15834582,,,,4895.0,0.724128,,-0.15,4.52
CANDIDATE,23.607902,,3.11864589,,,,6057.0,1.115157,,0.1,4.38
CANDIDATE,23.6088,,3.43,,,,,1.203,,,
CANDIDATE,23.610939,,3.0,,,,,1.09,,,
CANDIDATE,21.98131,,197.025,,,,4491.0,22.415,1.077,-0.794,1.773
CANDIDATE,9.64954,,2.74,,,,,0.593,,,
CANDIDATE,6.5534,,1.11,,,,,0.766,,,
CANDIDATE,0.6719977,,25.2,,,,,1.79,,,
CANDIDATE,4.4358,,1.3,,,,,0.879,,,
CANDIDATE,4.435717,,1.32476068,,,,5374.0,0.846676,,0.09,4.59
CANDIDATE,3.31347,,3.8,,,,,0.824,,,
CANDIDATE,1.72767,,21.3,,,,,0.37,,,
CANDIDATE,4.69942,,2.5,,,,,0.605,,,
CANDIDATE,12.7256,,2.16,,,,,1.001,,,
CANDIDATE,45.4939,,7.17,,,,,1.626,,,
CANDIDATE,12.092216,,4.7,,,,,0.84,,,
CANDIDATE,12.092199,,5.84432297,,,,5333.0,0.990979,,0.05,4.2
CANDIDATE,12.09259,,14.7,,,,,2.46,,,
CANDIDATE,10.7946,,,,,,5045.0,0.62,,,
CANDIDATE,10.7946,,2.34,,,,,0.618,,,
CANDIDATE,4.06643,,1.22,,,,,0.618,,,
CANDIDATE,57.8396,,9.8,,,,,0.729,,,
CANDIDATE,4.49161,,2.01,,,,,0.823,,,
CANDIDATE,19.496649,,2.21599278,,,,5758.0,1.155241,,-0.05,4.22
CANDIDATE,19.4989,,2.32,,,,,1.085,,,
CANDIDATE,3.78177,,1.81,,,,,1.095,,,
CANDIDATE,9.073266,,23.32,,,,,1.763,,,
CANDIDATE,2.010607,,1.28,,,,3806.0,0.618,0.61,-0.307,4.641
CANDIDATE,13.6094,,2.44,,,,,0.564,,,
CANDIDATE,5.23587,,4.86,,,,,1.248,,,
CANDIDATE,5.235714,,4.3,,,,,1.17,,,
CANDIDATE,2.43807,,2.15,,,,,0.625,,,
CANDIDATE,6.80111,,1.96,,,,,0.291,,,
CANDIDATE,0.364322479,,6.95273914,,329.3049,1086.47,3473.0,0.347331,,,4.87657
CANDIDATE,0.728639,,17.2,,,,,0.69,,,
CANDIDATE,17.1057,,5.91,,,,,0.592,,,
CANDIDATE,7.30383,,2.18,,,,,0.715,,,
CANDIDATE,4.684559,,4.757,,,,5829.0,1.184,0.901,0.027,4.244
CANDIDATE,57.8415,,6.13,,,,,1.495,,,
CONFIRMED,0.762406,,0.99,,,,5620.0,0.89,,0.28,4.5
CANDIDATE,9.4538,,1.91,,,,,0.932,,,
CANDIDATE,7.51114,,2.98,,,,,0.643,,,
CANDIDATE,10.4347,,1.69,,,,,0.816,,,
CANDIDATE,15.246593,,78.0,,,,,1.91,,,
CONFIRMED,0.705386,,1.73,,,,,1.013,,,
CONFIRMED,0.70531,,1.48,,,,,,0.94,,
CONFIRMED,0.70531,,1.6,,,,5499.0,1.0,,-0.23,4.5
CANDIDATE,4.284523,,1.30280156,,,,4360.0,0.62182,,-0.2,4.69
CANDIDATE,4.28475,,1.2,,,,,0.55,,,
CANDIDATE,4.28446,,1.98,,,,,0.934,,,
CANDIDATE,6.53046,,3.36,,,,,0.692,,,
CANDIDATE,6.53074,,,,,,3628.0,0.69,,,
CANDIDATE,,,6.71,,,,,1.256,,,
CANDIDATE,14.753,,3.0,,,,,0.5666,,,
CANDIDATE,21.77635,,37.0,,,,,1.122,,,
CANDIDATE,21.776971,,19.9,,,,,0.84,,,
CANDIDATE,8.78627,,3.16,,,,,1.184,,,
CANDIDATE,57.10412,,5.61,,,,,0.971,,,
CANDIDATE,57.1050077,,5.93946,,13.1521,530.0,5816.0,0.97,,,4.49
CANDIDATE,20.21535,,2.61,,,,,0.971,,,
CANDIDATE,39.3266,,3.57,,,,,1.346,,,
CANDIDATE,7.64514,,6.5,,,,,1.06,,,
CANDIDATE,46.47688,,62.0,,,,,2.394,,,
CANDIDATE,,,12.32,,,,,1.698,,,
CANDIDATE,6.73572,,,,,,5740.0,1.17,,,
CANDIDATE,6.73511,,3.9,,,,,1.167,,,
CANDIDATE,15.1563,,3.01,,,,,1.167,,,
CANDIDATE,13.26773,,4.04,,,,,0.813,,,
CANDIDATE,7.14238,,1.75,,,,,0.679,,,
CANDIDATE,2.653275,,118.0,,,,,24.8,,,
CANDIDATE,2.65323,,62.27721531,,,,4621.0,13.730692,,-0.78,2.17
CANDIDATE,40.938,,3.57,,,,,1.083,,,
CANDIDATE,29.435233,,2.91662791,,,,5785.0,1.199507,,0.01,4.21
CANDIDATE,10.228,,,,,,4081.0,0.456,,,
CANDIDATE,10.22657,,2.71,,,,,0.681,,,
CANDIDATE,3.91764,,2.94,,,,,1.35,,,
CANDIDATE,6.4063,,0.888,,,,,0.195,,,
CANDIDATE,31.9761,,3.92,,,,,1.461,,,
CONFIRMED,0.571336,,1.8,,,,,0.97,,,
CONFIRMED,0.571336,0.01312,1.82,9.0,4293.0,2063.0,5496.0,0.95,0.92,0.06,4.42
CONFIRMED,0.571285,,1.816,,,,,1.02,,,
CONFIRMED,0.5713127,0.01314,1.676,7.8,4656.0,2299.0,5578.0,0.99,0.913,-0.005,4.408
CONFIRMED,0.571308,,1.46,,,,5590.0,0.83,0.93,0.025,4.56
CONFIRMED,0.571331,0.0134,1.82,,,2119.0,5617.0,0.98,0.97,0.13,4.45
CONFIRMED,0.571299,,1.66855539,,,,5590.0,0.906429,0.966939,0.08,4.54
CONFIRMED,0.571292,0.0116,1.52,8.36,,2333.0,5470.0,0.869,0.945,-0.025,4.53
CONFIRMED,0.571,,1.712,7.72,,,5496.0,0.981,0.902,0.06,4.42
CONFIRMED,0.571292,0.01326,1.725,8.21,4670.0,2300.0,5532.0,0.988,0.95,0.11,
CONFIRMED,0.571212,,1.6,,,,5613.0,0.95,,0.01,4.6
CONFIRMED,0.571282,,1.87,8.03,4740.0,2115.0,5496.0,0.995,0.91,0.06,4.42
CONFIRMED,13.338687,,2.8,,,,,0.97,,,
CONFIRMED,13.3397,0.1083,2.836,8.9,70.0,805.0,5532.0,0.988,0.95,0.11,
CONFIRMED,13.33877,,3.79,,,,,1.02,,,
CONFIRMED,13.339746,,2.70490157,,,,5590.0,0.906429,0.966939,0.08,4.54
CONFIRMED,13.33918,,3.01,5.0,71.0,740.0,5496.0,0.995,0.91,0.06,4.42
CONFIRMED,13.33989,0.1073,2.84,7.32,70.0,804.0,5578.0,0.99,0.913,-0.005,4.408
CONFIRMED,13.3387,0.1071,2.77,5.7,64.0,722.0,5496.0,0.95,0.92,0.06,4.42
CONFIRMED,13.341245,,2.53,,,,5590.0,0.83,0.93,0.025,4.56
CONFIRMED,13.334615,,2.2,,,,5613.0,0.95,,0.01,4.6
CONFIRMED,13.3397,0.105,2.5,5.8,,774.0,5470.0,0.869,0.945,-0.025,4.53
CONFIRMED,13.339079,0.1091,2.73,,,741.0,5617.0,0.98,0.97,0.13,4.45
CANDIDATE,8.133218,,2.05114626,,,,5966.0,1.080518,,0.01,4.33
CANDIDATE,8.1344,,2.36,,,,,1.153,,,
CANDIDATE,17.78804,,2.78,,,,,1.153,,,
CANDIDATE,2.52894,,1.44,,,,,0.962,,,
CANDIDATE,2.311162,,51.6,,,,,1.58,,,
CANDIDATE,3.128977,,1.282,,,,5140.0,0.976,1.478,0.035,4.625
CANDIDATE,15.35092,,16.31,,,734.0,5417.0,0.943467,0.94,,4.46174
CANDIDATE,15.32811688,,16.40718966,,49.0177,674.85,5417.0,0.943467,,,4.46174
CANDIDATE,15.78132,,10.87,,,741.0,,,,,
CANDIDATE,15.78157906,,11.76767971,,65.8904,726.65,5780.0,1.0,,,4.438
CANDIDATE,5.20256,,3.58,,,1000.0,5489.0,0.995782,0.96,,4.42401
CANDIDATE,48.249552,,17.99855135,,,,5792.0,0.956171,,0.0,4.52
CANDIDATE,25.988289,,316.7337006,,,,4382.0,15.95329,,-0.72,2.07
CANDIDATE,18.69646,,2.35,,,571.0,5212.0,0.764037,0.89,,4.62123
CANDIDATE,12.20239,,4.15,,,812.0,5869.0,1.01169,1.06,,4.45328
CANDIDATE,4.18787,,1.36,,,1142.0,5589.98,0.972391,0.988,0.211,4.45714
CANDIDATE,19.57833,,2.77,,,644.0,5613.0,0.940594,0.99,,4.4869
CANDIDATE,19.57572,,2.84337254,,,,5611.0,0.90705,,0.06,4.55
CANDIDATE,0.844548,,1.005,,,,3109.0,0.165,0.133,-0.096,5.13
CANDIDATE,11.73677,,1.82,,,516.0,3984.72,0.761077,0.622,-0.148,4.469
CONFIRMED,0.728113,,1.1,,,,3782.0,0.32,,-0.18,5.0
CONFIRMED,0.72813,,1.27,,,932.0,3506.0,0.423901,0.418179,,4.8049
CANDIDATE,25.58142,,8.35,,,914.0,5409.94,1.9082,0.94,-0.027,3.84995
CANDIDATE,10.583942,,2.72,,,,5280.0,0.874,0.947,0.148,4.531
CANDIDATE,5.69046,,18.81,,,1503.0,5549.0,1.80891,0.98,,3.91446
CANDIDATE,1.055785,,1.51966184,,,,4315.0,0.592773,,-0.33,4.73
CANDIDATE,37.20364,,5.1,,,498.0,5476.0,0.829429,0.96,,4.58278
CANDIDATE,20.84919,,3.01,,,1349.0,9767.0,2.37225,2.49,,4.08394
CONFIRMED,16.140442,,2.05969274,,,,5870.0,0.975013,,-0.15,4.4
CONFIRMED,16.141132,0.1237,2.332,10.4,69.7,804.0,5868.0,0.999,0.97,-0.12,
CONFIRMED,16.1388,,2.18,19.3,68.9,734.0,5839.0,0.998,0.95,-0.11,4.42
CONFIRMED,16.13655,,2.02,,,739.0,5886.0,0.995311,1.067,,4.47031
CANDIDATE,0.251647,,27.97665274,,,,5833.0,0.986936,,-0.04,4.41
CANDIDATE,11.67254,,3.87,,,946.0,5725.0,1.22705,1.02,,4.26894
CANDIDATE,4.03692,,2.24,,,870.0,4861.07,0.735009,0.792,-0.034,4.60421
CANDIDATE,4.036791,,2.33800166,,,,4933.0,0.72841,,-0.12,4.65
CANDIDATE,3.137611,,,,,,3579.0,0.452762,0.5,,4.8253
CANDIDATE,9.632039,,2.279,,,,4646.0,0.697,0.722,-0.117,4.608
CANDIDATE,18.239311,,3.792,,,,4015.0,0.477,1.621,-0.12,4.809
CANDIDATE,11.109675,,2.462,,,,4813.0,0.657,0.717,-0.368,4.66
CANDIDATE,5.138,,,,,,,,,,
CANDIDATE,5.1392756,,2.17365,,41.3052,706.0,4014.0,0.71,,,4.53
CANDIDATE,29.957262,,8.456,,,,4897.0,0.711,0.909,-0.12,4.695
CANDIDATE,8.04473,,,,,,4975.0,0.79,,,
CANDIDATE,11.82469,,,,,,4975.0,0.79,,,
CANDIDATE,7.084267,,3.848,,,,4572.0,0.765,0.881,-0.051,4.617
CANDIDATE,20.676056,,3.302,,,,4572.0,0.765,0.881,-0.051,4.617
CANDIDATE,6.786539,,1.2,,,,5866.0,0.975,0.795,-0.422,4.361
CANDIDATE,2.988541,,3.504,,,,5761.0,1.023,0.877,-0.063,4.364
CANDIDATE,21.436032,,2.486,,,,3627.0,0.467,0.466,0.091,4.767
CANDIDATE,6.39595,,,,,,3972.0,0.68,,,
CANDIDATE,3.853494,,6.957,,,,4459.0,0.744,0.838,-0.095,4.619
CANDIDATE,4.696045,,2.57,,,,5003.0,0.782,0.907,0.049,4.605
CANDIDATE,8.6387,,,,,,5120.0,0.647,,,
CANDIDATE,3.98547,,,,,,4256.0,0.72,,,
CANDIDATE,16.607299,,2.532,,,,4878.0,0.756,1.011,-0.05,4.685
CANDIDATE,16.980197,,2.705,,,,5319.0,0.879,0.852,-0.14,4.482
CANDIDATE,1.827,0.0187,0.99,,,986.0,3949.0,0.503,0.523,,4.753
CANDIDATE,1.29655,,8.559,,,,3583.0,0.586,0.54,-0.361,4.645
CANDIDATE,3.379516,,4.742,,,,4940.0,0.741,0.767,-0.125,4.585
CANDIDATE,1.082361,,7.158,,,,5556.0,1.721,1.159,-0.376,4.032
CANDIDATE,1.082,0.0162,2.22,,,928.0,3408.0,0.516,0.245,,4.399
CANDIDATE,3.35,0.0266,0.97,,,851.0,4408.0,0.427,0.276,,4.617
CANDIDATE,9.32,0.0724,1.43,,,516.0,4408.0,0.427,0.276,,4.617
CANDIDATE,13.9145,,,,,,6640.0,1.6,,,
CANDIDATE,4.03776,,,,,,4689.0,0.58,,,
CANDIDATE,7.539949,,2.511,,,,5661.0,1.205,1.157,-0.128,4.338
CANDIDATE,5.10555,,10.889,,,,4938.0,1.109,1.873,-0.074,4.621
CANDIDATE,17.768404,,2.787,,,,4961.0,0.763,0.98,-0.154,4.667
CANDIDATE,4.464438,,6.184,,,,5894.0,1.434,1.046,-0.084,4.145
CANDIDATE,11.416439,,3.034,,,,3668.0,0.451,0.496,0.205,4.826
CANDIDATE,7.21084,,2.26,,,,5739.0,1.053,0.787,-0.187,4.286
CANDIDATE,13.284219,,1.233,,,,3245.0,0.124,0.098,0.394,5.24
CANDIDATE,24.213117,,0.505,,,,3245.0,0.124,0.098,0.394,5.24
CANDIDATE,2.46564,,30.186,,,,7068.0,2.497,1.913,0.049,3.927
CANDIDATE,18.896192,,1.975,,,,4459.0,0.545,0.488,-0.162,4.654
CONFIRMED,6.1802679,,,,,,6202.0,1.586,1.317,0.141,4.157
CONFIRMED,6.180261387,,13.70374653,,923.6302,1406.03,6513.0,1.73931,,,4.08
CONFIRMED,6.180235,0.07229,11.780659,953.49,642.0,1401.0,6202.0,1.586,1.317,0.141,4.157
CANDIDATE,13.107894,,25.768,,,,5732.0,1.081,0.958,-0.15,4.353
CANDIDATE,1.925,0.0251,1.07,,,452.0,3067.0,0.236,0.121,,4.772
CANDIDATE,10.1997,,,,,,5340.0,0.97,,,
CANDIDATE,21.371372,,16.514,,,,4692.0,1.14,1.232,0.037,4.413
CANDIDATE,7.098695,,1.837,,,,4857.0,0.681,0.809,-0.412,4.676
CANDIDATE,4.20566,,,,,,5006.0,0.9,,,
CANDIDATE,4.205074127,,3.32404522,,197.5133,956.13,5086.0,0.877822,,,4.48
CANDIDATE,9.7051,,,,,,5090.0,1.24,,,
CANDIDATE,0.73217,,1.108,,,,4641.0,0.827,0.836,-0.038,4.526
CANDIDATE,5.2289874,,2.3513,,538.64,1342.0,6213.0,1.28,,,4.3
CANDIDATE,5.228352,,2.282,,,,6265.0,1.272,0.988,-0.088,4.223
CANDIDATE,3.1764,0.0377,0.9532,,133.976,,4434.0,0.741,0.861,-0.087,4.631
CANDIDATE,2.419472,,36.563,,,,6830.0,2.476,2.086,-0.004,3.97
CANDIDATE,6.770834,,25.455,,,,6310.0,2.243,1.895,-0.021,4.014
CANDIDATE,14.616783,,2.119,,,,5174.0,0.821,1.016,-0.098,4.615
CANDIDATE,13.7579,,,,,,4860.0,0.76,,,
CANDIDATE,3.3733,0.0279,1.5839,,109.437,,5634.0,0.779,0.693,-0.13,4.494
CANDIDATE,8.4356,0.0708,2.9192,,704.732,,5634.0,0.779,0.693,-0.13,4.494
CANDIDATE,3.09246,,2.413,,,,4051.0,0.698,0.813,-0.223,4.661
CANDIDATE,20.379434,,24.603,,,,4993.0,4.259,1.249,-0.325,3.279
CANDIDATE,4.420394,,10.293,,,,5943.0,2.875,2.489,-0.24,3.917
CANDIDATE,1.248905,,4.073,,,,5496.0,1.289,1.041,-0.1,4.235
CANDIDATE,12.505,0.1034,1.673,,58.958,,5214.0,0.975,1.027,0.028,4.466
CANDIDATE,11.95706,,2.635,,,,5292.0,0.829,0.954,0.024,4.579
CANDIDATE,7.624,0.0775,2.4551,,321.73,,5998.0,1.29,1.053,-0.163,4.241
